Measurement conditions,,,
Sample identification,m-PKS-38um-As Noturn 06-04-23,,
Comment,,,
Anode material,Cu,,
K-Alpha1 wavelength,1.540598,,
K-Alpha2 wavelength,1.544426,,
Ratio K-Alpha2/K-Alpha1,0.5,,
Divergence slit,Fixed,0.76mm,
Monochromator used,NO,,
Generator voltage,40,,
Tube current,15,,
File date and time,06/apr./2023 07:48,,
Unit cell,,,
h k l, 0 0 0,,
Scan axis,Gonio,,
Scan range,5.002,49.99992804,
Scan step size,0.0108664,,
No. of points,4141,,
Scan type,CONTINUOUS,,
Time per step,48.195,,85.92177612
[Scan points],,,
Measurements,,,
Angle, TimePerStep, Intensity, ESD
5.00743322,48.195,4933,70.2353
5.01829966,48.195,4954,70.3847
5.0291661,48.195,5037,70.9718
5.04003254,48.195,4931,70.2211
5.05089898,48.195,4982,70.5833
5.06176542,48.195,4870,69.7854
5.07263186,48.195,4930,70.214
5.0834983,48.195,4999,70.7036
5.09436474,48.195,4859,69.7065
5.10523118,48.195,4889,69.9214
5.11609762,48.195,4820,69.4262
5.12696406,48.195,4955,70.3918
5.1378305,48.195,4807,69.3325
5.14869694,48.195,5110,71.4843
5.15956338,48.195,5048,71.0493
5.17042982,48.195,5029,70.9154
5.18129626,48.195,4838,69.5557
5.1921627,48.195,4955,70.3918
5.20302914,48.195,4972,70.5124
5.21389558,48.195,4926,70.1855
5.22476202,48.195,4962,70.4415
5.23562846,48.195,4808,69.3397
5.2464949,48.195,4952,70.3704
5.25736134,48.195,4929,70.2068
5.26822778,48.195,4978,70.5549
5.27909422,48.195,4947,70.3349
5.28996066,48.195,4922,70.157
5.3008271,48.195,4984,70.5975
5.31169354,48.195,4955,70.3918
5.32255998,48.195,4976,70.5408
5.33342642,48.195,4892,69.9428
5.34429286,48.195,5090,71.3442
5.3551593,48.195,4952,70.3704
5.36602574,48.195,4973,70.5195
5.37689218,48.195,4914,70.0999
5.38775862,48.195,4991,70.647
5.39862506,48.195,5125,71.5891
5.4094915,48.195,5020,70.852
5.42035794,48.195,4986,70.6116
5.43122438,48.195,4996,70.6824
5.44209082,48.195,5130,71.624
5.45295726,48.195,5026,70.8943
5.4638237,48.195,5022,70.8661
5.47469014,48.195,4947,70.3349
5.48555658,48.195,5116,71.5262
5.49642302,48.195,5009,70.7743
5.50728946,48.195,5102,71.4283
5.5181559,48.195,5050,71.0634
5.52902234,48.195,4977,70.5479
5.53988878,48.195,4989,70.6329
5.55075522,48.195,5040,70.993
5.56162166,48.195,5164,71.861
5.5724881,48.195,4992,70.6541
5.58335454,48.195,5073,71.225
5.59422098,48.195,5082,71.2881
5.60508742,48.195,5078,71.2601
5.61595386,48.195,5043,71.0141
5.6268203,48.195,5064,71.1618
5.63768674,48.195,5081,71.2811
5.64855318,48.195,5163,71.854
5.65941962,48.195,5202,72.1249
5.67028606,48.195,5139,71.6868
5.6811525,48.195,5177,71.9514
5.69201894,48.195,5234,72.3464
5.70288538,48.195,5105,71.4493
5.71375182,48.195,5188,72.0278
5.72461826,48.195,5130,71.624
5.7354847,48.195,5295,72.7668
5.74635114,48.195,5285,72.698
5.75721758,48.195,5269,72.5879
5.76808402,48.195,5328,72.9932
5.77895046,48.195,5264,72.5534
5.7898169,48.195,5283,72.6842
5.80068334,48.195,5262,72.5396
5.81154978,48.195,5250,72.4569
5.82241622,48.195,5335,73.0411
5.83328266,48.195,5374,73.3076
5.8441491,48.195,5250,72.4569
5.85501554,48.195,5307,72.8492
5.86588198,48.195,5343,73.0958
5.87674842,48.195,5277,72.643
5.88761486,48.195,5346,73.1163
5.8984813,48.195,5354,73.171
5.90934774,48.195,5384,73.3757
5.92021418,48.195,5460,73.8918
5.93108062,48.195,5412,73.5663
5.94194706,48.195,5450,73.8241
5.9528135,48.195,5483,74.0473
5.96367994,48.195,5326,72.9794
5.97454638,48.195,5421,73.6274
5.98541282,48.195,5505,74.1957
5.99627926,48.195,5379,73.3417
6.0071457,48.195,5534,74.3909
6.01801214,48.195,5368,73.2666
6.02887858,48.195,5391,73.4234
6.03974502,48.195,5367,73.2598
6.05061146,48.195,5378,73.3348
6.0614779,48.195,5390,73.4166
6.07234434,48.195,5513,74.2496
6.08321078,48.195,5420,73.6206
6.09407722,48.195,5473,73.9797
6.10494366,48.195,5585,74.7329
6.1158101,48.195,5520,74.2967
6.12667654,48.195,5733,75.7166
6.13754298,48.195,5563,74.5855
6.14840942,48.195,5613,74.92
6.15927586,48.195,5602,74.8465
6.1701423,48.195,5657,75.213
6.18100874,48.195,5647,75.1465
6.19187518,48.195,5485,74.0608
6.20274162,48.195,5610,74.8999
6.21360806,48.195,5535,74.3976
6.2244745,48.195,5581,74.7061
6.23534094,48.195,5688,75.4188
6.24620738,48.195,5549,74.4916
6.25707382,48.195,5648,75.1532
6.26794026,48.195,5699,75.4917
6.2788067,48.195,5769,75.9539
6.28967314,48.195,5602,74.8465
6.30053958,48.195,5620,74.9667
6.31140602,48.195,5646,75.1399
6.32227246,48.195,5651,75.1731
6.3331389,48.195,5630,75.0333
6.34400534,48.195,5756,75.8683
6.35487178,48.195,5601,74.8398
6.36573822,48.195,5862,76.5637
6.37660466,48.195,5767,75.9408
6.3874711,48.195,5693,75.452
6.39833754,48.195,5714,75.591
6.40920398,48.195,5771,75.9671
6.42007042,48.195,5556,74.5386
6.43093686,48.195,5837,76.4003
6.4418033,48.195,5720,75.6307
6.45266974,48.195,5873,76.6355
6.46353618,48.195,5697,75.4785
6.47440262,48.195,5823,76.3086
6.48526906,48.195,5768,75.9474
6.4961355,48.195,5947,77.1168
6.50700194,48.195,5928,76.9935
6.51786838,48.195,5710,75.5645
6.52873482,48.195,5792,76.1052
6.53960126,48.195,5749,75.8222
6.5504677,48.195,5885,76.7138
6.56133414,48.195,5913,76.896
6.57220058,48.195,5955,77.1686
6.58306702,48.195,5877,76.6616
6.59393346,48.195,5758,75.8815
6.6047999,48.195,5995,77.4274
6.61566634,48.195,5995,77.4274
6.62653278,48.195,5956,77.1751
6.63739922,48.195,5961,77.2075
6.64826566,48.195,6038,77.7046
6.6591321,48.195,5995,77.4274
6.66999854,48.195,6067,77.8909
6.68086498,48.195,6029,77.6466
6.69173142,48.195,6036,77.6917
6.70259786,48.195,6055,77.8139
6.7134643,48.195,6145,78.3901
6.72433074,48.195,6109,78.1601
6.73519718,48.195,5926,76.9805
6.74606362,48.195,5928,76.9935
6.75693006,48.195,6226,78.905
6.7677965,48.195,6039,77.711
6.77866294,48.195,6110,78.1665
6.78952938,48.195,6101,78.1089
6.80039582,48.195,6175,78.5812
6.81126226,48.195,6144,78.3837
6.8221287,48.195,6134,78.3199
6.83299514,48.195,6194,78.702
6.84386158,48.195,6158,78.4729
6.85472802,48.195,6099,78.0961
6.86559446,48.195,6157,78.4666
6.8764609,48.195,6195,78.7083
6.88732734,48.195,6289,79.3032
6.89819378,48.195,6135,78.3262
6.90906022,48.195,6248,79.0443
6.91992666,48.195,6351,79.6932
6.9307931,48.195,6135,78.3262
6.94165954,48.195,6105,78.1345
6.95252598,48.195,6147,78.4028
6.96339242,48.195,6077,77.9551
6.97425886,48.195,6331,79.5676
6.9851253,48.195,6252,79.0696
6.99599174,48.195,6257,79.1012
7.00685818,48.195,6226,78.905
7.01772462,48.195,6364,79.7747
7.02859106,48.195,6240,78.9937
7.0394575,48.195,6344,79.6492
7.05032394,48.195,6235,78.962
7.06119038,48.195,6334,79.5864
7.07205682,48.195,6280,79.2465
7.08292326,48.195,6351,79.6932
7.0937897,48.195,6152,78.4347
7.10465614,48.195,6368,79.7997
7.11552258,48.195,6240,78.9937
