Measurement conditions,,,
Sample identification,m-M1-As Noturn 06-04-23,,
Comment,,,
Anode material,Cu,,
K-Alpha1 wavelength,1.540598,,
K-Alpha2 wavelength,1.544426,,
Ratio K-Alpha2/K-Alpha1,0.5,,
Divergence slit,Fixed,0.76mm,
Monochromator used,NO,,
Generator voltage,40,,
Tube current,15,,
File date and time,06/abr./2023 09:10,,
Unit cell,,,
h k l, 0 0 0,,
Scan axis,Gonio,,
Scan range,5.002,49.99992804,
Scan step size,0.0108664,,
No. of points,4141,,
Scan type,CONTINUOUS,,
Time per step,48.195,,
[Scan points],,,
Mesurements,,,
Angle, TimePerStep, Intensity, ESD
5.00743322,48.195,4143,64.3661
5.01829966,48.195,4269,65.3376
5.0291661,48.195,4155,64.4593
5.04003254,48.195,4183,64.6761
5.05089898,48.195,4102,64.0469
5.06176542,48.195,4174,64.6065
5.07263186,48.195,4164,64.5291
5.0834983,48.195,4091,63.9609
5.09436474,48.195,4184,64.6838
5.10523118,48.195,4165,64.5368
5.11609762,48.195,4007,63.3009
5.12696406,48.195,4107,64.0859
5.1378305,48.195,4108,64.0937
5.14869694,48.195,4056,63.6867
5.15956338,48.195,4013,63.3482
5.17042982,48.195,4055,63.6789
5.18129626,48.195,4012,63.3404
5.1921627,48.195,4078,63.8592
5.20302914,48.195,3977,63.0635
5.21389558,48.195,4090,63.9531
5.22476202,48.195,3990,63.1664
5.23562846,48.195,3939,62.7615
5.2464949,48.195,3978,63.0714
5.25736134,48.195,4009,63.3167
5.26822778,48.195,3928,62.6738
5.27909422,48.195,3977,63.0635
5.28996066,48.195,4153,64.4438
5.3008271,48.195,4088,63.9375
5.31169354,48.195,4051,63.6475
5.32255998,48.195,4003,63.2693
5.33342642,48.195,4011,63.3325
5.34429286,48.195,4054,63.671
5.3551593,48.195,4013,63.3482
5.36602574,48.195,3947,62.8252
5.37689218,48.195,3978,63.0714
5.38775862,48.195,4012,63.3404
5.39862506,48.195,3940,62.7694
5.4094915,48.195,3909,62.522
5.42035794,48.195,3952,62.8649
5.43122438,48.195,4010,63.3246
5.44209082,48.195,4029,63.4744
5.45295726,48.195,4119,64.1794
5.4638237,48.195,3867,62.1852
5.47469014,48.195,4044,63.5925
5.48555658,48.195,3963,62.9524
5.49642302,48.195,4014,63.3561
5.50728946,48.195,4082,63.8905
5.5181559,48.195,3853,62.0725
5.52902234,48.195,3976,63.0555
5.53988878,48.195,3894,62.4019
5.55075522,48.195,3943,62.7933
5.56162166,48.195,4006,63.293
5.5724881,48.195,3955,62.8888
5.58335454,48.195,3985,63.1269
5.59422098,48.195,4017,63.3798
5.60508742,48.195,3956,62.8967
5.61595386,48.195,4031,63.4902
5.6268203,48.195,4044,63.5925
5.63768674,48.195,3990,63.1664
5.64855318,48.195,4104,64.0625
5.65941962,48.195,4045,63.6003
5.67028606,48.195,4072,63.8122
5.6811525,48.195,4036,63.5295
5.69201894,48.195,4101,64.0391
5.70288538,48.195,4035,63.5216
5.71375182,48.195,4120,64.1872
5.72461826,48.195,4114,64.1405
5.7354847,48.195,4092,63.9687
5.74635114,48.195,4058,63.7024
5.75721758,48.195,4069,63.7887
5.76808402,48.195,4037,63.5374
5.77895046,48.195,4131,64.2729
5.7898169,48.195,3983,63.111
5.80068334,48.195,4130,64.2651
5.81154978,48.195,3962,62.9444
5.82241622,48.195,4024,63.435
5.83328266,48.195,4050,63.6396
5.8441491,48.195,4080,63.8749
5.85501554,48.195,4066,63.7652
5.86588198,48.195,4149,64.4127
5.87674842,48.195,4059,63.7103
5.88761486,48.195,4249,65.1844
5.8984813,48.195,4158,64.4826
5.90934774,48.195,4259,65.261
5.92021418,48.195,4066,63.7652
5.93108062,48.195,4176,64.622
5.94194706,48.195,4148,64.405
5.9528135,48.195,4110,64.1093
5.96367994,48.195,4195,64.7688
5.97454638,48.195,4097,64.0078
5.98541282,48.195,4174,64.6065
5.99627926,48.195,4123,64.2106
6.0071457,48.195,4149,64.4127
6.01801214,48.195,4161,64.5058
6.02887858,48.195,4276,65.3911
6.03974502,48.195,4138,64.3273
6.05061146,48.195,4189,64.7225
6.0614779,48.195,4136,64.3117
6.07234434,48.195,4174,64.6065
6.08321078,48.195,4272,65.3605
6.09407722,48.195,4171,64.5833
6.10494366,48.195,4269,65.3376
6.1158101,48.195,4234,65.0692
6.12667654,48.195,4205,64.846
6.13754298,48.195,4219,64.9538
6.14840942,48.195,4163,64.5213
6.15927586,48.195,4222,64.9769
6.1701423,48.195,4323,65.7495
6.18100874,48.195,4128,64.2495
6.19187518,48.195,4167,64.5523
6.20274162,48.195,4233,65.0615
6.21360806,48.195,4069,63.7887
6.2244745,48.195,4255,65.2304
6.23534094,48.195,4219,64.9538
6.24620738,48.195,4207,64.8614
6.25707382,48.195,4263,65.2917
6.26794026,48.195,4242,65.1306
6.2788067,48.195,4262,65.284
6.28967314,48.195,4303,65.5973
6.30053958,48.195,4223,64.9846
6.31140602,48.195,4321,65.7343
6.32227246,48.195,4358,66.0151
6.3331389,48.195,4196,64.7765
6.34400534,48.195,4291,65.5057
6.35487178,48.195,4261,65.2763
6.36573822,48.195,4312,65.6658
6.37660466,48.195,4372,66.1211
6.3874711,48.195,4262,65.284
6.39833754,48.195,4415,66.4455
6.40920398,48.195,4316,65.6963
6.42007042,48.195,4379,66.174
6.43093686,48.195,4548,67.4389
6.4418033,48.195,4352,65.9697
6.45266974,48.195,4371,66.1135
6.46353618,48.195,4382,66.1967
6.47440262,48.195,4210,64.8845
6.48526906,48.195,4466,66.8281
6.4961355,48.195,4342,65.8939
6.50700194,48.195,4352,65.9697
6.51786838,48.195,4335,65.8407
6.52873482,48.195,4477,66.9104
6.53960126,48.195,4460,66.7832
6.5504677,48.195,4449,66.7008
6.56133414,48.195,4443,66.6558
6.57220058,48.195,4441,66.6408
6.58306702,48.195,4307,65.6277
6.59393346,48.195,4424,66.5132
6.6047999,48.195,4470,66.8581
6.61566634,48.195,4411,66.4154
6.62653278,48.195,4360,66.0303
6.63739922,48.195,4391,66.2646
6.64826566,48.195,4346,65.9242
6.6591321,48.195,4345,65.9166
6.66999854,48.195,4462,66.7982
6.68086498,48.195,4441,66.6408
6.69173142,48.195,4397,66.3099
6.70259786,48.195,4414,66.4379
6.7134643,48.195,4356,66
6.72433074,48.195,4522,67.2458
6.73519718,48.195,4486,66.9776
6.74606362,48.195,4440,66.6333
6.75693006,48.195,4450,66.7083
6.7677965,48.195,4549,67.4463
6.77866294,48.195,4431,66.5658
6.78952938,48.195,4467,66.8356
6.80039582,48.195,4395,66.2948
6.81126226,48.195,4444,66.6633
6.8221287,48.195,4421,66.4906
6.83299514,48.195,4474,66.888
6.84386158,48.195,4550,67.4537
6.85472802,48.195,4578,67.6609
6.86559446,48.195,4655,68.2276
6.8764609,48.195,4569,67.5944
6.88732734,48.195,4455,66.7458
6.89819378,48.195,4549,67.4463
6.90906022,48.195,4500,67.082
6.91992666,48.195,4554,67.4833
6.9307931,48.195,4676,68.3813
6.94165954,48.195,4608,67.8823
6.95252598,48.195,4638,68.1029
6.96339242,48.195,4567,67.5796
6.97425886,48.195,4652,68.2056
6.9851253,48.195,4535,67.3424
6.99599174,48.195,4752,68.9348
7.00685818,48.195,4572,67.6166
7.01772462,48.195,4545,67.4166
7.02859106,48.195,4605,67.8602
7.0394575,48.195,4615,67.9338
7.05032394,48.195,4563,67.55
7.06119038,48.195,4711,68.6367
7.07205682,48.195,4604,67.8528
7.08292326,48.195,4511,67.164
7.0937897,48.195,4627,68.0221
7.10465614,48.195,4659,68.2569
7.11552258,48.195,4675,68.374
